table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
FH,FHAPInvoiceNachaDetailDatas,FHAPInvoiceNachaDataKey,FH,FHAPInvoiceNachaDatas,FHAPInvoiceNachaDataKey
FH,FHAPInvoiceNachaDetailDatas,FHBankAccountSetupDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHAPInvoiceNachalogs,FHAPInvoiceNachaDataKey,FH,FHAPInvoiceNachaDatas,FHAPInvoiceNachaDataKey
FH,FHAPInvoiceNoteAttachmentDatas,FHAPInvoiceNoteDataKey,FH,FHAPInvoiceNotesDatas,FHAPInvoiceNoteDataKey
FH,FHAPInvoiceNotesDatas,FHAPInvoiceDataKey,FH,FHAPInvoiceDatas,FHAPInvoiceDataKey
FH,FHAPRunBankTransactionMappingDatas,FHAPFinalizedRunDataKey,FH,FHAPFinalizedRunDatas,FHAPFinalizedRunDataKey
FH,FHAPRunBankTransactionMappingDatas,FHAPInvoiceCheckDataKey,FH,FHAPInvoiceCheckDatas,FHAPInvoiceCheckDataKey
FH,FHAPRunBankTransactionMappingDatas,FHAPInvoiceDataKey,FH,FHAPInvoiceDatas,FHAPInvoiceDataKey
FH,FHAPRunBankTransactionMappingDatas,FHBankTransactionDataKey,FH,FHBankTransactionDatas,FHBankTransactionDataKey
FH,FHAPRunJournalMappingDatas,FHAPFinalizedRunDataKey,FH,FHAPFinalizedRunDatas,FHAPFinalizedRunDataKey
FH,FHAPRunJournalMappingDatas,FHAPInvoiceDataKey,FH,FHAPInvoiceDatas,FHAPInvoiceDataKey
FH,FHAPRunJournalMappingDatas,FHGLJournalDataKey,FH,FHGLJournalDatas,FHGLJournalDataKey
FH,FHARParameterSettings,DefaultIVRPaymentTypeDataKey,FH,FHARPaymentTypes,FHARPaymentTypeKey
FH,FHARParameterSettings,DefaultPaymentTypeDataKey,FH,FHARPaymentTypes,FHARPaymentTypeKey
FH,FHARParameterSettings,FrontDeskCreditCardPaymentTypeDataKey,FH,FHARPaymentTypes,FHARPaymentTypeKey
FH,FHARParameterSettings,FrontDeskECheckPaymentTypeDataKey,FH,FHARPaymentTypes,FHARPaymentTypeKey
FH,FHARParameterSettings,DefaultBankForCreditCardDepositsGLDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHARParameterSettings,DefaultBankForCreditCardDepositsUBDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHARParameterSettings,FrontDeskBankNumberDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHARParameterSettings,DefaultIVRRevenueCodeDataKey,FH,FHUBRevenueCodeDatas,FHUBRevenueCodeDataKey
FH,FHARParameterSettings,FrontDeskUBRevenueCodeDataKey,FH,FHUBRevenueCodeDatas,FHUBRevenueCodeDataKey
FH,FHARPaymentTypes,DefaultFHARPaymentTypeKey,FH,FHARPaymentTypes,FHARPaymentTypeKey
FH,FHAccountLineBreakDatas,FHAccountBreakConfigurationKey,FH,FHAccountBreakConfigurations,FHAccountBreakConfigurationKey
FH,FHAccountLineBreakDatas,FHAccountLineRangeConfigurationKey,FH,FHAccountLineRangeConfigurations,FHAccountLineRangeConfigurationKey
FH,FHAccountTypeLineBreakFormats,FHAccountBreakConfigurationKey,FH,FHAccountBreakConfigurations,FHAccountBreakConfigurationKey
FH,FHActivityAccountBreakDatas,FHAccountBreakConfigurationKey,FH,FHAccountBreakConfigurations,FHAccountBreakConfigurationKey
FH,FHBankReconcileStatementDatas,FHBankAccountSetupDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHBankReconcileTransactionMappingDatas,FHBankReconcileStatementDataKey,FH,FHBankReconcileStatementDatas,FHBankReconcileStatementDataKey
FH,FHBankReconcileTransactionMappingDatas,FHBankTransactionDataKey,FH,FHBankTransactionDatas,FHBankTransactionDataKey
FH,FHBankTransactionDatas,BankFromKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHBankTransactionDatas,BankToKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHBankTransactionDatas,FHBankTransactionTypeDataKey,FH,FHBankTransactionTypeDatas,FHBankTransactionTypeDataKey
FH,FHBankTransactionDatas,FHFundAccountBreakDataKey,FH,FHFundAccountBreakDatas,FHFundAccountBreakDataKey
FH,FHBankTransactionDatas,FHGLBankTransferDataKey,FH,FHGLBankTransferDatas,FHGLBankTransferDataKey
FH,FHBankTransactionDatas,FHGLJournalDataKey,FH,FHGLJournalDatas,FHGLJournalDataKey
FH,FHBankTransactionFundDatas,FHBankTransactionDataKey,FH,FHBankTransactionDatas,FHBankTransactionDataKey
FH,FHBankTransactionFundDatas,FHFundAccountBreakDataKey,FH,FHFundAccountBreakDatas,FHFundAccountBreakDataKey
